,fecha,sistema,dmin,dmax
1,01/01/2006,SIC,2644.2,4221.86
2,01/01/2006,SING,1379.91,1547.89
3,02/01/2006,SIC,3078.2,5233.15
4,02/01/2006,SING,1416.14,1552.15
5,03/01/2006,SIC,3639.14,5315.77
6,03/01/2006,SING,1417.51,1550.83
7,04/01/2006,SIC,3743.2,5252.27
8,04/01/2006,SING,1416.68,1524.19
9,05/01/2006,SIC,3719.6,5344.07
10,05/01/2006,SING,1444.52,1558.66
11,06/01/2006,SIC,3750.48,5203.49
12,06/01/2006,SING,1382.0,1560.53
13,07/01/2006,SIC,3648.28,4928.32
14,07/01/2006,SING,1452.93,1543.24
15,08/01/2006,SIC,3163.3,4838.17
16,08/01/2006,SING,1420.92,1571.7
17,09/01/2006,SIC,3553.7,5342.96
18,09/01/2006,SING,1441.91,1549.75
19,10/01/2006,SIC,3788.92,5376.92
20,10/01/2006,SING,1451.04,1537.33
21,11/01/2006,SIC,3817.69,5313.56
22,11/01/2006,SING,1317.9,1522.89
23,12/01/2006,SIC,3779.85,5377.74
24,12/01/2006,SING,1400.21,1505.29
25,13/01/2006,SIC,3830.65,5345.88
26,13/01/2006,SING,1396.55,1509.96
27,14/01/2006,SIC,3686.9,4989.13
28,14/01/2006,SING,1415.73,1518.12
29,15/01/2006,SIC,3195.7,4753.08
30,15/01/2006,SING,1378.49,1513.2
31,16/01/2006,SIC,3510.84,5445.89
32,16/01/2006,SING,1330.89,1497.28
33,17/01/2006,SIC,3882.2,5459.52
34,17/01/2006,SING,1331.34,1496.78
35,18/01/2006,SIC,3894.44,5342.97
36,18/01/2006,SING,1420.26,1527.31
37,19/01/2006,SIC,3827.6,5361.3
38,19/01/2006,SING,1418.27,1558.95
39,20/01/2006,SIC,3873.92,5393.62
40,20/01/2006,SING,1405.81,1569.86
41,21/01/2006,SIC,3773.0,4966.05
42,21/01/2006,SING,1464.51,1574.08
43,22/01/2006,SIC,3292.6,4838.53
44,22/01/2006,SING,1426.62,1555.47
45,23/01/2006,SIC,3565.81,5386.43
46,23/01/2006,SING,1438.14,1542.43
47,24/01/2006,SIC,3878.0,5478.37
48,24/01/2006,SING,1398.42,1533.19
49,25/01/2006,SIC,3900.4,5504.34
50,25/01/2006,SING,1418.45,1508.51
51,26/01/2006,SIC,3923.9,5481.42
52,26/01/2006,SING,1398.51,1551.95
53,27/01/2006,SIC,3945.43,5443.76
54,27/01/2006,SING,1428.44,1526.29
55,28/01/2006,SIC,3822.2,5066.05
56,28/01/2006,SING,1411.78,1522.07
57,29/01/2006,SIC,3285.1,4800.51
58,29/01/2006,SING,1386.43,1556.92
59,30/01/2006,SIC,3526.5,5537.37
60,30/01/2006,SING,1417.82,1509.9
61,31/01/2006,SIC,3878.31,5463.07
62,31/01/2006,SING,1288.8,1488.9
63,01/02/2006,SIC,3866.0,5351.18
64,01/02/2006,SING,1374.33,1498.2
65,02/02/2006,SIC,3827.76,5347.19
66,02/02/2006,SING,1365.62,1512.69
67,03/02/2006,SIC,3825.99,5321.47
68,03/02/2006,SING,1302.43,1491.76
69,04/02/2006,SIC,3664.3,4946.9
70,04/02/2006,SING,1363.8,1466.31
71,05/02/2006,SIC,3162.2,4707.82
72,05/02/2006,SING,1440.4,1574.94
73,06/02/2006,SIC,3357.96,5324.29
74,06/02/2006,SING,1441.69,1521.88
75,07/02/2006,SIC,3730.63,5401.64
76,07/02/2006,SING,1419.32,1547.38
77,08/02/2006,SIC,3836.89,5345.22
78,08/02/2006,SING,1361.04,1542.11
79,09/02/2006,SIC,3830.0,5422.36
80,09/02/2006,SING,1395.46,1556.86
81,10/02/2006,SIC,3813.2,5416.97
82,10/02/2006,SING,1389.32,1559.42
83,11/02/2006,SIC,3764.9,5127.51
84,11/02/2006,SING,1463.65,1562.18
85,12/02/2006,SIC,3338.2,4779.8
86,12/02/2006,SING,1406.58,1558.74
87,13/02/2006,SIC,3508.79,5516.34
88,13/02/2006,SING,985.98,1468.32
89,14/02/2006,SIC,3854.79,5480.69
90,14/02/2006,SING,1126.56,1346.16
91,15/02/2006,SIC,3923.2,5455.16
92,15/02/2006,SING,1199.99,1324.34
93,16/02/2006,SIC,3847.7,5531.49
94,16/02/2006,SING,1296.62,1386.37
95,17/02/2006,SIC,3928.12,5547.01
96,17/02/2006,SING,1349.13,1478.03
97,18/02/2006,SIC,3941.5,5190.46
98,18/02/2006,SING,1396.36,1519.77
99,19/02/2006,SIC,3396.4,4907.25
100,19/02/2006,SING,1404.38,1567.49
101,20/02/2006,SIC,3607.7,5630.68
102,20/02/2006,SING,1487.84,1572.54
103,21/02/2006,SIC,4000.5,5679.54
104,21/02/2006,SING,1457.53,1555.06
105,22/02/2006,SIC,3939.5,5606.79
106,22/02/2006,SING,1446.23,1566.15
107,23/02/2006,SIC,3888.5,5666.73
108,23/02/2006,SING,1478.57,1579.86
109,24/02/2006,SIC,3936.6,5620.51
110,24/02/2006,SING,1461.4,1578.61
111,25/02/2006,SIC,3902.9,5238.04
112,25/02/2006,SING,1493.41,1600.75
113,26/02/2006,SIC,3395.9,4847.46
114,26/02/2006,SING,1467.58,1633.72
115,27/02/2006,SIC,3572.9,5569.3
116,27/02/2006,SING,1475.15,1598.71
117,28/02/2006,SIC,3866.3,5684.71
118,28/02/2006,SING,1468.43,1584.82
119,01/03/2006,SIC,3863.2,5526.38
120,01/03/2006,SING,1386.27,1512.42
121,02/03/2006,SIC,3792.9,5651.11
122,02/03/2006,SING,1452.84,1529.83
123,03/03/2006,SIC,3843.7,5698.78
124,03/03/2006,SING,1457.72,1581.62
125,04/03/2006,SIC,3891.1,5275.56
126,04/03/2006,SING,1440.48,1566.85
127,05/03/2006,SIC,3404.8,5131.77
128,05/03/2006,SING,1389.94,1617.75
129,06/03/2006,SIC,3548.2,5720.57
130,06/03/2006,SING,1395.21,1530.7
131,07/03/2006,SIC,3872.4,5739.7
132,07/03/2006,SING,1447.46,1545.72
133,08/03/2006,SIC,3826.44,5760.09
134,08/03/2006,SING,1287.61,1507.11
135,09/03/2006,SIC,3876.8,5803.0
136,09/03/2006,SING,1313.81,1434.67
137,10/03/2006,SIC,3881.57,5652.53
138,10/03/2006,SING,1367.92,1487.95
139,11/03/2006,SIC,3809.7,5282.2
140,11/03/2006,SING,1368.57,1470.17
141,12/03/2006,SIC,3279.68,5045.79
142,12/03/2006,SING,1366.62,1520.92
143,13/03/2006,SIC,3527.8,5793.05
144,13/03/2006,SING,1419.5,1603.25
145,14/03/2006,SIC,3852.29,5861.2
146,14/03/2006,SING,1467.71,1585.58
147,15/03/2006,SIC,3834.1,5791.8
148,15/03/2006,SING,1497.49,1588.97
149,16/03/2006,SIC,3756.9,5817.05
150,16/03/2006,SING,1441.83,1580.03
151,17/03/2006,SIC,3815.3,5783.64
152,17/03/2006,SING,1483.51,1603.08
153,18/03/2006,SIC,3782.4,5420.33
154,18/03/2006,SING,1488.24,1598.2
155,19/03/2006,SIC,3220.7,5058.55
156,19/03/2006,SING,1332.03,1550.97
157,20/03/2006,SIC,3526.3,5861.51
158,20/03/2006,SING,1305.68,1459.73
159,21/03/2006,SIC,3821.3,5864.41
160,21/03/2006,SING,1381.06,1483.14
161,22/03/2006,SIC,3813.3,5869.7
162,22/03/2006,SING,1421.37,1508.98
163,23/03/2006,SIC,3858.2,5889.25
164,23/03/2006,SING,1361.67,1549.94
165,24/03/2006,SIC,3907.4,5818.45
166,24/03/2006,SING,1482.34,1590.61
167,25/03/2006,SIC,3771.7,5385.22
168,25/03/2006,SING,1480.15,1597.96
169,26/03/2006,SIC,3215.5,5077.02
170,26/03/2006,SING,1402.91,1542.43
171,27/03/2006,SIC,3505.4,5806.76
172,27/03/2006,SING,1411.62,1501.87
173,28/03/2006,SIC,3793.3,5901.5
174,28/03/2006,SING,1421.04,1522.97
175,29/03/2006,SIC,3837.0,5856.03
176,29/03/2006,SING,1405.85,1505.47
177,30/03/2006,SIC,3753.6,5758.47
178,30/03/2006,SING,1435.88,1522.32
179,31/03/2006,SIC,3816.5,5790.32
180,31/03/2006,SING,1435.31,1526.5
181,01/04/2006,SIC,3774.9,5342.82
182,01/04/2006,SING,1206.69,1311.84
183,02/04/2006,SIC,3235.2,5021.16
184,02/04/2006,SING,1124.03,1243.99
185,03/04/2006,SIC,3477.5,5734.44
186,03/04/2006,SING,1112.51,1211.24
187,04/04/2006,SIC,3692.7,5833.11
188,04/04/2006,SING,1081.14,1198.28
189,05/04/2006,SIC,3719.9,5785.82
190,05/04/2006,SING,984.01,1167.54
191,06/04/2006,SIC,3757.6,5786.62
192,06/04/2006,SING,1149.28,1257.87
193,07/04/2006,SIC,3761.7,5846.24
194,07/04/2006,SING,1184.43,1438.45
195,08/04/2006,SIC,3769.8,5442.54
196,08/04/2006,SING,1226.41,1418.26
197,09/04/2006,SIC,3269.3,5140.06
198,09/04/2006,SING,1124.51,1336.73
199,10/04/2006,SIC,3586.3,5946.12
200,10/04/2006,SING,1278.84,1518.09
